"Female Road Age Factors WMA and USATF, 2015*",,,,,,,,,,,,,,,,,,,,
Age,5 km,6 km,4 Mile,8 km,5 MIle,10 km,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km
Distance,5,6,6.437376,8,8.0467,10,12,15,16.09344,20,21.0975,25,30,42.195,50.0000,80.4672,100,150,161,200
OC sec,886,1071,1152,1442,1452,1820,2194,2755,2961,3700,3912,4665,5660,8125,9820,17760,23591,39700,43500,57600
OC,0:14:46,0:17:51,0:19:09,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
5,0.7010,0.6930,0.6930,0.6930,0.6930,0.6930,0.6930,0.5945,0.6525,0.6525,0.5945,0.6525,0.6525,0.6930,0.6930,0.6930,0.6930,0.6930,0.6930,0.6930
6,0.7343,0.7263,0.7263,0.7263,0.7263,0.7263,0.7263,0.6382,0.6924,0.6924,0.6382,0.6924,0.6924,0.7263,0.7263,0.7263,0.7263,0.7263,0.7263,0.7263
7,0.7658,0.7578,0.7578,0.7578,0.7578,0.7578,0.7578,0.6793,0.7301,0.7301,0.6793,0.7301,0.7301,0.7578,0.7578,0.7578,0.7578,0.7578,0.7578,0.7578
8,0.7954,0.7874,0.7874,0.7874,0.7874,0.7874,0.7874,0.7178,0.7656,0.7656,0.7178,0.7656,0.7656,0.7874,0.7874,0.7874,0.7874,0.7874,0.7874,0.7874
9,0.8232,0.8152,0.8152,0.8152,0.8152,0.8152,0.8152,0.7537,0.7989,0.7989,0.7537,0.7989,0.7989,0.8152,0.8152,0.8152,0.8152,0.8152,0.8152,0.8152
10,0.8493,0.8413,0.8413,0.8413,0.8413,0.8413,0.8413,0.7870,0.8300,0.8300,0.7870,0.8300,0.8300,0.8413,0.8413,0.8413,0.8413,0.8413,0.8413,0.8413
11,0.8734,0.8654,0.8654,0.8654,0.8654,0.8654,0.8654,0.8177,0.8589,0.8589,0.8177,0.8589,0.8589,0.8654,0.8654,0.8654,0.8654,0.8654,0.8654,0.8654
12,0.8958,0.8878,0.8878,0.8878,0.8878,0.8878,0.8878,0.8458,0.8856,0.8856,0.8458,0.8856,0.8856,0.8878,0.8878,0.8878,0.8878,0.8878,0.8878,0.8878
13,0.9164,0.9084,0.9084,0.9084,0.9084,0.9084,0.9084,0.8713,0.9101,0.9101,0.8713,0.9101,0.9101,0.9084,0.9084,0.9084,0.9084,0.9084,0.9084,0.9084
14,0.9351,0.9271,0.9271,0.9271,0.9271,0.9271,0.9271,0.8942,0.9324,0.9324,0.8942,0.9324,0.9324,0.9271,0.9271,0.9271,0.9271,0.9271,0.9271,0.9271
15,0.9520,0.9440,0.9440,0.9440,0.9440,0.9440,0.9440,0.9145,0.9525,0.9525,0.9145,0.9525,0.9525,0.9440,0.9440,0.9440,0.9440,0.9440,0.9440,0.9440
16,0.9680,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,0.9335,0.9715,0.9715,0.9335,0.9715,0.9715,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600
17,0.9840,0.9760,0.9760,0.9760,0.9760,0.9760,0.9760,0.9525,0.9905,0.9905,0.9525,0.9905,0.9905,0.9760,0.9760,0.9760,0.9760,0.9760,0.9760,0.9760
18,0.9960,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9696,1.0000,1.0000,0.9696,1.0000,1.0000,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893
19,1.0000,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9829,1.0000,1.0000,0.9829,1.0000,1.0000,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973
20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9924,1.0000,1.0000,0.9924,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
21,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9981,1.0000,1.0000,0.9981,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
22,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
23,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
24,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
26,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
27,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
28,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
29,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9997,0.9997,0.9997,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
31,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9989,0.9989,0.9989,0.9989,0.9989,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
32,0.9990,0.9990,0.9990,0.9990,0.9990,0.9989,0.9989,0.9975,0.9975,0.9975,0.9975,0.9975,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989
33,0.9977,0.9977,0.9977,0.9976,0.9976,0.9975,0.9975,0.9956,0.9956,0.9956,0.9956,0.9955,0.9975,0.9974,0.9974,0.9974,0.9974,0.9974,0.9974,0.9974
34,0.9959,0.9958,0.9958,0.9956,0.9956,0.9955,0.9955,0.9931,0.9931,0.9931,0.9931,0.9930,0.9954,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953
35,0.9935,0.9933,0.9933,0.9931,0.9931,0.9930,0.9930,0.9901,0.9901,0.9901,0.9901,0.9899,0.9928,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926
36,0.9906,0.9904,0.9903,0.9900,0.9900,0.9898,0.9898,0.9865,0.9865,0.9865,0.9865,0.9863,0.9895,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893
37,0.9871,0.9868,0.9867,0.9864,0.9864,0.9860,0.9860,0.9823,0.9823,0.9823,0.9823,0.9821,0.9857,0.9854,0.9854,0.9854,0.9854,0.9854,0.9854,0.9854
38,0.9831,0.9827,0.9826,0.9821,0.9821,0.9817,0.9817,0.9776,0.9776,0.9776,0.9776,0.9774,0.9813,0.9808,0.9808,0.9808,0.9808,0.9808,0.9808,0.9808
39,0.9785,0.9781,0.9779,0.9773,0.9773,0.9768,0.9768,0.9724,0.9724,0.9724,0.9724,0.9720,0.9762,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757
40,0.9734,0.9728,0.9726,0.9720,0.9719,0.9713,0.9713,0.9666,0.9666,0.9666,0.9666,0.9662,0.9706,0.9699,0.9699,0.9699,0.9699,0.9699,0.9699,0.9699
41,0.9678,0.9671,0.9668,0.9660,0.9660,0.9652,0.9652,0.9602,0.9602,0.9602,0.9602,0.9597,0.9643,0.9635,0.9635,0.9635,0.9635,0.9635,0.9635,0.9635
