Male Road Running Age Standard factors 2020,,,,,,,,,,,,,,,,,,,,,
Age,1 Mile,5 km,6 km,4 Mile,8 km,5 Mile,10 km,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km
Distance,1.609344,5,6,6.4374,8,8.0467,10,12,15,16.09344,20,21.0975,25,30,42.195,50,80.46736,100,150,160.9344,200
OC sec,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
OC,0:03:47,0:12:51,0:15:33,0:16:43,0:20:57,0:21:04,0:26:24,0:32:03,0:40:36,0:43:45,0:54:58,0:58:01,1:09:30,1:24:30,2:01:39,2:29:30,4:28:00,5:56:00,10:05:00,11:04:10,14:40:00
5,0.6062,0.6062,0.6056,0.6056,0.6056,0.6056,0.6080,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056,0.6056
6,0.6602,0.6602,0.6596,0.6596,0.6596,0.6596,0.6620,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596,0.6596
7,0.7102,0.7102,0.7096,0.7096,0.7096,0.7096,0.7120,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096
8,0.7562,0.7562,0.7556,0.7556,0.7556,0.7556,0.7580,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556,0.7556
9,0.7982,0.7982,0.7976,0.7976,0.7976,0.7976,0.8000,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976,0.7976
10,0.8362,0.8362,0.8356,0.8356,0.8356,0.8356,0.8380,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356,0.8356
11,0.8702,0.8702,0.8696,0.8696,0.8696,0.8696,0.8720,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696
