M  0:50:48
F  1:03:14
M  8 0.6008  
M  9 0.6388
M 10 0.6748 
M 11 0.7088 
M 12 0.7408 
M 13 0.7708 
M 14 0.7988 
M 15 0.8248 
M 16 0.8488 
M 17 0.8708 
M 18 0.8908 
M 19 0.9098 
M 20 0.9288 
M 21 0.9474 
M 22 0.9635 
M 23 0.9766 
M 24 0.9868 
M 25 0.9942 
M 26 0.9985 
M 27 1.0000 
M 28 1.0000 
M 29 1.0000 
M 30 1.0000 
M 31 1.0000 
M 32 1.0000 
M 33 1.0000 
M 34 1.0000 
M 35 1.0000 
M 36 1.0000 
M 37 1.0000 
M 38 1.0000 
M 39 1.0000 
M 40 1.0000 
M 41 0.9997 
M 42 0.9987 
M 43 0.9970 
M 44 0.9946 
M 45 0.9916 
M 46 0.9879 
M 47 0.9836 
M 48 0.9786 
M 49 0.9729 
M 50 0.9665 
M 51 0.9595 
M 52 0.9518 
M 53 0.9434 
M 54 0.9343 
M 55 0.9246 
M 56 0.9142 
M 57 0.9032 
M 58 0.8915 
M 59 0.8791 
M 60 0.8660 
M 61 0.8526 
M 62 0.8392 
M 63 0.8258 
M 64 0.8124 
M 65 0.7990 
M 66 0.7856 
M 67 0.7722 
M 68 0.7588 
M 69 0.7454 
M 70 0.7320 
M 71 0.7183 
M 72 0.7038 
M 73 0.6887 
M 74 0.6729 
M 75 0.6564 
M 76 0.6392 
M 77 0.6213 
M 78 0.6028 
M 79 0.5835 
M 80 0.5636 
M 81 0.5430 
M 82 0.5217 
M 83 0.4997 
M 84 0.4770 
M 85 0.4536 
M 86 0.4295 
M 87 0.4048 
M 88 0.3793 
M 89 0.3532 
M 90 0.3264
F  8 0.5067
F  9 0.5486
F 10 0.5885
F 11 0.6265 
F 12 0.6624 
F 13 0.6963 
F 14 0.7282 
F 15 0.7581 
F 16 0.7860 
F 17 0.8119 
F 18 0.8358 
F 19 0.8577 
F 20 0.8776 
F 21 0.8956 
F 22 0.9123 
F 23 0.9290 
F 24 0.9447 
F 25 0.9585 
F 26 0.9703 
F 27 0.9801 
F 28 0.9880 
F 29 0.9939 
F 30 0.9978 
F 31 1.0000 
F 32 1.0000 
F 33 1.0000 
F 34 1.0000 
F 35 1.0000 
F 36 1.0000 
F 37 1.0000 
F 38 1.0000 
F 39 1.0000 
F 40 1.0000 
F 41 1.0000 
F 42 1.0000 
F 43 1.0000 
F 44 1.0000 
F 45 1.0000 
F 46 1.0000 
F 47 1.0000 
F 48 1.0000 
F 49 1.0000 
F 50 0.9950 
F 51 0.9801 
F 52 0.9602 
F 53 0.9403 
F 54 0.9204 
F 55 0.9005 
F 56 0.8798 
F 57 0.8577 
F 58 0.8340 
F 59 0.8089 
F 60 0.7822 
F 61 0.7540 
F 62 0.7244 
F 63 0.6932 
F 64 0.6605 
F 65 0.6263 
F 66 0.5906 
F 67 0.5534 
F 68 0.5147 
F 69 0.4745 
F 70 0.4328 
